Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,,home,,s;-1;m,-113,1.88,moneyline,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,over,home,2.5,s;-1;tt;2.5;home,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,under,home,2.5,s;-1;tt;2.5;home,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,over,,5.0,s;-1;ou;5,100,2.0,total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,under,,5.0,s;-1;ou;5,-120,1.83,total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,,away,1.5,s;0;s;-1.5,117,2.17,spread,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,,away,,s;0;m,258,3.58,moneyline,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,over,away,2.5,s;0;tt;2.5;away,-130,1.77,team_total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,under,away,2.5,s;0;tt;2.5;away,100,2.0,team_total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,,home,-1.5,s;0;s;-1.5,-137,1.73,spread,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,,home,,s;0;m,-295,1.34,moneyline,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,over,home,5.5,s;0;tt;5.5;home,-102,1.98,team_total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,under,home,5.5,s;0;tt;5.5;home,-128,1.78,team_total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,over,,8.5,s;0;ou;8.5,-115,1.87,total,2024-08-12,
Game,490457433,COL(away) vs ARI(home),MLB,under,,8.5,s;0;ou;8.5,-105,1.95,total,2024-08-12,
